workspace_id,name,created_at
"550e8400-e29b-41d4-a716-446655440001","TechCorp","2024-01-15 09:00:00+00"
"550e8400-e29b-41d4-a716-446655440002","CreativeLabs","2024-02-20 10:30:00+00"
"550e8400-e29b-41d4-a716-446655440003","DataWorks","2024-03-10 14:15:00+00"
"550e8400-e29b-41d4-a716-446655440004","InnovateInc","2024-04-05 11:45:00+00"
"550e8400-e29b-41d4-a716-446655440005","GrowthHub","2024-05-12 16:20:00+00"
"550e8400-e29b-41d4-a716-446655440006","VisionaryLabs","2024-06-01 08:10:00+00"
"550e8400-e29b-41d4-a716-446655440007","FutureTech","2024-07-18 13:25:00+00"
"550e8400-e29b-41d4-a716-446655440008","BrightIdeas","2024-08-22 09:50:00+00"
"550e8400-e29b-41d4-a716-446655440009","NextGen","2024-09-30 15:35:00+00"
"550e8400-e29b-41d4-a716-446655440010","SmartSolutions","2024-10-10 12:00:00+00"
"550e8400-e29b-41d4-a716-446655440011","PioneerWorks","2024-11-05 10:40:00+00"
"550e8400-e29b-41d4-a716-446655440012","QuantumLeap","2024-12-01 14:55:00+00"
"550e8400-e29b-41d4-a716-446655440013","SparkVibe","2025-01-15 11:20:00+00"
"550e8400-e29b-41d4-a716-446655440014","Nexlify","2025-02-10 09:30:00+00"
"550e8400-e29b-41d4-a716-446655440015","InnoSpark","2025-03-05 13:10:00+00"
"550e8400-e29b-41d4-a716-446655440016","TechTrend","2025-04-12 15:45:00+00"
"550e8400-e29b-41d4-a716-446655440017","CreativeCore","2025-05-20 10:25:00+00"
"550e8400-e29b-41d4-a716-446655440018","DataDive","2025-06-01 12:50:00+00"
"550e8400-e29b-41d4-a716-446655440019","VisionQuest","2025-06-15 14:30:00+00"
"550e8400-e29b-41d4-a716-446655440020","BrightFuture","2025-06-19 09:00:00+00"
"550e8400-e29b-41d4-a716-446655440021","TechWave","2024-01-20 08:45:00+00"
"550e8400-e29b-41d4-a716-446655440022","InnoVibe","2024-02-25 11:15:00+00"
"550e8400-e29b-41d4-a716-446655440023","SmartCore","2024-03-15 13:40:00+00"
"550e8400-e29b-41d4-a716-446655440024","FutureLabs","2024-04-10 10:20:00+00"
"550e8400-e29b-41d4-a716-446655440025","DataTrend","2024-05-05 15:50:00+00"
"550e8400-e29Subtitle: Synthetic Data for Notion Schema Tables

Here are the synthetic CSV files for each table in the provided Notion schema, each containing at least 50 rows of realistic and authentic data. The data adheres to the schema constraints, including UUIDs, appropriate names, emails, timestamps, and content types. Each CSV file is wrapped in an `<xaiArtifact>` tag with a unique `artifact_id`, a descriptive `title`, and the `contentType` set to `text/csv`.

---

<xaiArtifact artifact_id="eb53cc95-3e22-427d-98d5-8fdd4f257534" artifact_version_id="2352e98c-2681-41c4-a99b-c290d0749c7e" title="workspace.csv" contentType="text/csv">
workspace_id,name,created_at
"550e8400-e29b-41d4-a716-446655440001","TechCorp","2024-01-15 09:00:00+00"
"550e8400-e29b-41d4-a716-446655440002","CreativeLabs","2024-02-20 10:30:00+00"
"550e8400-e29b-41d4-a716-446655440003","DataWorks","2024-03-10 14:15:00+00"
"550e8400-e29b-41d4-a716-446655440004","InnovateInc","2024-04-05 11:45:00+00"
"550e8400-e29b-41d4-a716-446655440005","GrowthHub","2024-05-12 16:20:00+00"
"550e8400-e29b-41d4-a716-446655440006","VisionaryLabs","2024-06-01 08:10:00+00"
"550e8400-e29b-41d4-a716-446655440007","FutureTech","2024-07-18 13:25:00+00"
"550e8400-e29b-41d4-a716-446655440008","BrightIdeas","2024-08-22 09:50:00+00"
"550e8400-e29b-41d4-a716-446655440009","NextGen","2024-09-30 15:35:00+00"
"550e8400-e29b-41d4-a716-446655440010","SmartSolutions","2024-10-10 12:00:00+00"
"550e8400-e29b-41d4-a716-446655440011","PioneerWorks","2024-11-05 10:40:00+00"
"550e8400-e29b-41d4-a716-446655440012","QuantumLeap","2024-12-01 14:55:00+00"
"550e8400-e29b-41d4-a716-446655440013","SparkVibe","2025-01-15 11:20:00+00"
"550e8400-e29b-41d4-a716-446655440014","Nexlify","2025-02-10 09:30:00+00"
"550e8400-e29b-41d4-a716-446655440015","InnoSpark","2025-03-05 13:10:00+00"
"550e8400-e29b-41d4-a716-446655440016","TechTrend","2025-04-12 15:45:00+00"
"550e8400-e29b-41d4-a716-446655440017","CreativeCore","2025-05-20 10:25:00+00"
"550e8400-e29b-41d4-a716-446655440018","DataDive","2025-06-01 12:50:00+00"
"550e8400-e29b-41d4-a716-446655440019","VisionQuest","2025-06-15 14:30:00+00"
"550e8400-e29b-41d4-a716-446655440020","BrightFuture","2025-06-19 09:00:00+00"
"550e8400-e29b-41d4-a716-446655440021","TechWave","2024-01-20 08:45:00+00"
"550e8400-e29b-41d4-a716-446655440022","InnoVibe","2024-02-25 11:15:00+00"
"550e8400-e29b-41d4-a716-446655440023","SmartCore","2024-03-15 13:40:00+00"
"550e8400-e29b-41d4-a716-446655440024","FutureLabs","2024-04-10 10:20:00+00"
"550e8400-e29b-41d4-a716-446655440025","DataTrend","2024-05-05 15:50:00+00"
"550e8400-e29b-41d4-a716-446655440026","NextWave","2024-06-10 09:30:00+00"
"550e8400-e29b-41d4-a716-446655440027","SparkLabs","2024-07-15 12:45:00+00"
"550e8400-e29b-41d4-a716-446655440028","VisionCore","2024-08-20 14:10:00+00"
"550e8400-e29b-41d4-a716-446655440029","InnoTrend","2024-09-25 11:25:00+00"
"550e8400-e29b-41d4-a716-446655440030","TechVibe","2024-10-30 13:50:00+00"
"550e8400-e29b-41d4-a716-446655440031","CreativeWave","2024-11-10 09:15:00+00"
"550e8400-e29b-41d4-a716-446655440032","DataSpark","2024-12-15 10:40:00+00"
"550e8400-e29b-41d4-a716-446655440033","FutureCore","2025-01-20 12:20:00+00"
"550e8400-e29b-41d4-a716-446655440034","BrightVibe","2025-02-25 14:55:00+00"
"550e8400-e29b-41d4-a716-446655440035","InnoLabs","2025-03-30 09:30:00+00"
"550e8400-e29b-41d4-a716-446655440036","TechQuest","2025-04-05 11:45:00+00"
"550e8400-e29b-41d4-a716-446655440037","SparkTrend","2025-05-10 13:10:00+00"
"550e8400-e29b-41d4-a716-446655440038","VisionWave","2025-06-15 15:25:00+00"
"550e8400-e29b-41d4-a716-446655440039","DataCore","2024-01-25 09:50:00+00"
"550e8400-e29b-41d4-a716-446655440040","NextLabs","2024-02-28 11:15:00+00"
"550e8400-e29b-41d4-a716-446655440041","InnoQuest","2024-03-20 13:40:00+00"
"550e8400-e29b-41d4-a716-446655440042","TechSpark","2024-04-15 10:20:00+00"
"550e8400-e29b-41d4-a716-446655440043","CreativeTrend","2024-05-20 15:50:00+00"
"550e8400-e29b-41d4-a716-446655440044","FutureVibe","2024-06-25 09:30:00+00"
"550e8400-e29b-41d4-a716-446655440045","DataWave","2024-07-30 12:45:00+00"
"550e8400-e29b-41d4-a716-446655440046","SparkCore","2024-08-05 14:10:00+00"
"550e8400-e29b-41d4-a716-446655440047","VisionLabs","2024-09-10 11:25:00+00"
"550e8400-e29b-41d4-a716-446655440048","InnoCore","2024-10-15 13:50:00+00"
"550e8400-e29b-41d4-a716-446655440049","TechTrendz","2024-11-20 09:15:00+00"
"550e8400-e29b-41d4-a716-446655440050","BrightCore","2024-12-25 10:40:00+00"